ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
MKTX,MarketAxess Holdings Inc.,2014-07-23T00:00:00.000Z,TNS,0.46,0.48,4.73,EDT,0,EQUITY,2014-07-23
MKTX,MarketAxess Holdings Inc.,2014-10-22T00:00:00.000Z,TNS,0.47,0.46,-2.95,EDT,0,EQUITY,2014-10-22
MKTX,MarketAxess Holdings Inc.,2015-01-28T00:00:00.000Z,TNS,0.52,0.57,9.83,EDT,0,EQUITY,2015-01-28
MKTX,MarketAxess Holdings Inc.,2015-04-22T00:00:00.000Z,TNS,0.64,0.65,1.09,EDT,0,EQUITY,2015-04-22
MKTX,MarketAxess Holdings Inc.,2015-07-22T00:00:00.000Z,TNS,0.64,0.64,0.79,EDT,0,EQUITY,2015-07-22
MKTX,MarketAxess Holdings Inc.,2015-10-21T00:00:00.000Z,TNS,0.62,0.6,-2.76,EDT,0,EQUITY,2015-10-21
MKTX,MarketAxess Holdings Inc.,2016-01-27T00:00:00.000Z,TNS,0.62,0.65,4.33,EDT,0,EQUITY,2016-01-27
MKTX,MarketAxess Holdings Inc.,2016-04-27T00:00:00.000Z,TNS,0.78,0.77,-1.79,EDT,0,EQUITY,2016-04-27
MKTX,MarketAxess Holdings Inc.,2016-07-28T00:00:00.000Z,TNS,0.85,0.88,3.53,EDT,0,EQUITY,2016-07-28
MKTX,MarketAxess Holdings Inc.,2016-10-26T00:00:00.000Z,TNS,0.78,0.82,5.53,EDT,0,EQUITY,2016-10-26
MKTX,MarketAxess Holdings Inc.,2017-01-25T00:00:00.000Z,TNS,0.84,0.88,4.51,EDT,0,EQUITY,2017-01-25
MKTX,MarketAxess Holdings Inc.,2017-04-26T00:00:00.000Z,TNS,0.96,1.11,15.87,EDT,0,EQUITY,2017-04-26
MKTX,MarketAxess Holdings Inc.,2017-07-26T00:00:00.000Z,TNS,0.92,1.0,8.93,EDT,0,EQUITY,2017-07-26
MKTX,MarketAxess Holdings Inc.,2017-10-25T00:00:00.000Z,TNS,0.9,0.9,0.22,EDT,0,EQUITY,2017-10-25
MKTX,MarketAxess Holdings Inc.,2018-01-31T00:00:00.000Z,TNS,0.87,1.19,37.1,EDT,0,EQUITY,2018-01-31
MKTX,MarketAxess Holdings Inc.,2018-04-25T00:00:00.000Z,TNS,1.22,1.27,3.84,EDT,0,EQUITY,2018-04-25
MKTX,MarketAxess Holdings Inc.,2018-07-25T00:00:00.000Z,TNS,1.04,1.07,2.88,EDT,0,EQUITY,2018-07-25
MKTX,MarketAxess Holdings Inc.,2018-10-24T00:00:00.000Z,TNS,0.93,1.02,9.32,EDT,0,EQUITY,2018-10-24
MKTX,MarketAxess Holdings Inc.,2019-01-30T00:00:00.000Z,TNS,1.16,1.21,4.67,EDT,0,EQUITY,2019-01-30
MKTX,MarketAxess Holdings Inc.,2019-04-24T00:00:00.000Z,TNS,1.38,1.39,1.09,EDT,0,EQUITY,2019-04-24
MKTX,MarketAxess Holdings Inc.,2019-07-24T00:00:00.000Z,TNS,1.32,1.27,-3.79,EDT,0,EQUITY,2019-07-24
MKTX,MarketAxess Holdings Inc.,2019-10-23T00:00:00.000Z,TNS,1.39,1.42,2.31,EDT,0,EQUITY,2019-10-23
MKTX,MarketAxess Holdings Inc.,2020-01-29T00:00:00.000Z,TNS,1.3,1.32,1.69,EDT,0,EQUITY,2020-01-29
MKTX,MarketAxess Holdings Inc.,2020-04-29T00:00:00.000Z,TNS,1.9,1.96,3.05,EDT,0,EQUITY,2020-04-29
MKTX,MarketAxess Holdings Inc.,2020-07-22T00:00:00.000Z,TNS,2.12,2.2,3.92,EDT,0,EQUITY,2020-07-22
MKTX,MarketAxess Holdings Inc.,2020-10-27T00:00:00.000Z,TNS,1.74,1.78,2.18,EDT,0,EQUITY,2020-10-27
MAR,"Marriott International, Inc.",1999-02-03T00:00:00.000Z,TNS,0.21,0.22,2.16,EDT,0,EQUITY,1999-02-03
MAR,"Marriott International, Inc.",1999-04-15T00:00:00.000Z,TNS,0.18,0.2,11.45,EDT,0,EQUITY,1999-04-15
MAR,"Marriott International, Inc.",1999-07-08T00:00:00.000Z,TNS,0.21,0.21,1.2,EDT,0,EQUITY,1999-07-08
MAR,"Marriott International, Inc.",1999-10-25T00:00:00.000Z,TNS,0.18,0.18,-0.37,EDT,0,EQUITY,1999-10-25
MAR,"Marriott International, Inc.",2000-02-04T00:00:00.000Z,TNS,0.22,0.22,0.29,EDT,0,EQUITY,2000-02-04
MAR,"Marriott International, Inc.",2000-04-13T00:00:00.000Z,TNS,0.19,0.2,2.36,EDT,0,EQUITY,2000-04-13
MAR,"Marriott International, Inc.",2000-07-06T00:00:00.000Z,TNS,0.24,0.25,4.35,EDT,0,EQUITY,2000-07-06
MAR,"Marriott International, Inc.",2001-02-06T00:00:00.000Z,TNS,0.29,0.29,0.79,EDT,0,EQUITY,2001-02-06
